strategy,date,action,price,entry_date,entry_price,trade_return
Custom Strategy,2021-08-31 04:00:00+00:00,BUY,148.17,,,
Custom Strategy,2021-09-10 04:00:00+00:00,SELL,145.46,2021-08-31 04:00:00+00:00,148.17,-0.01828980225416732
Custom Strategy,2021-10-19 04:00:00+00:00,BUY,145.2,,,
Custom Strategy,2021-10-22 04:00:00+00:00,SELL,145.12,2021-10-19 04:00:00+00:00,145.2,-0.000550964187327696
Custom Strategy,2021-10-29 04:00:00+00:00,BUY,146.19,,,
Custom Strategy,2021-11-10 05:00:00+00:00,SELL,144.62,2021-10-29 04:00:00+00:00,146.19,-0.010739448662699158
Custom Strategy,2021-11-17 05:00:00+00:00,BUY,150.17,,,
Custom Strategy,2021-11-19 05:00:00+00:00,SELL,156.98,2021-11-17 05:00:00+00:00,150.17,0.04534860491443027
Custom Strategy,2021-11-26 05:00:00+00:00,BUY,153.56,,,
Custom Strategy,2021-12-01 05:00:00+00:00,SELL,161.0,2021-11-26 05:00:00+00:00,153.56,0.04845011721802561
Custom Strategy,2021-12-13 05:00:00+00:00,BUY,171.71,,,
Custom Strategy,2021-12-17 05:00:00+00:00,SELL,167.12,2021-12-13 05:00:00+00:00,171.71,-0.02673111641721504
Custom Strategy,2022-03-22 04:00:00+00:00,BUY,165.26,,,
Custom Strategy,2022-04-01 04:00:00+00:00,SELL,170.58,2022-03-22 04:00:00+00:00,165.26,0.03219169793053389
Custom Strategy,2022-04-06 04:00:00+00:00,BUY,167.95,,,
Custom Strategy,2022-04-08 04:00:00+00:00,SELL,166.55,2022-04-06 04:00:00+00:00,167.95,-0.00833581423042562
Custom Strategy,2022-07-07 04:00:00+00:00,BUY,143.47,,,
Custom Strategy,2022-07-21 04:00:00+00:00,SELL,152.28,2022-07-07 04:00:00+00:00,143.47,0.0614065658325782
Custom Strategy,2022-07-26 04:00:00+00:00,BUY,148.58,,,
Custom Strategy,2022-08-05 04:00:00+00:00,SELL,162.25,2022-07-26 04:00:00+00:00,148.58,0.09200430744380128
Custom Strategy,2022-10-28 04:00:00+00:00,BUY,152.85,,,
Custom Strategy,2022-11-02 04:00:00+00:00,SELL,142.34,2022-10-28 04:00:00+00:00,152.85,-0.06876022244030089
Custom Strategy,2022-11-11 05:00:00+00:00,BUY,147.19,,,
Custom Strategy,2022-11-28 05:00:00+00:00,SELL,141.79,2022-11-11 05:00:00+00:00,147.19,-0.036687274950743975
Custom Strategy,2023-02-09 05:00:00+00:00,BUY,148.31,,,
Custom Strategy,2023-02-21 05:00:00+00:00,SELL,146.24,2023-02-09 05:00:00+00:00,148.31,-0.013957251702514939
Custom Strategy,2023-03-17 04:00:00+00:00,BUY,152.68,,,
Custom Strategy,2023-03-30 04:00:00+00:00,SELL,159.9,2023-03-17 04:00:00+00:00,152.68,0.04728844642389318
Custom Strategy,2023-04-05 04:00:00+00:00,BUY,161.26,,,
Custom Strategy,2023-04-11 04:00:00+00:00,SELL,158.37,2023-04-05 04:00:00+00:00,161.26,-0.01792136921741283
Custom Strategy,2023-04-19 04:00:00+00:00,BUY,165.08,,,
Custom Strategy,2023-04-20 04:00:00+00:00,SELL,164.08,2023-04-19 04:00:00+00:00,165.08,-0.006057669008965316
Custom Strategy,2023-05-18 04:00:00+00:00,BUY,172.64,,,
Custom Strategy,2023-05-22 04:00:00+00:00,SELL,171.84,2023-05-18 04:00:00+00:00,172.64,-0.004633920296570837
Custom Strategy,2023-05-31 04:00:00+00:00,BUY,174.97,,,
Custom Strategy,2023-06-13 04:00:00+00:00,SELL,180.78,2023-05-31 04:00:00+00:00,174.97,0.03320569240441218
Custom Strategy,2023-06-21 04:00:00+00:00,BUY,181.39,,,
Custom Strategy,2023-06-26 04:00:00+00:00,SELL,182.76,2023-06-21 04:00:00+00:00,181.39,0.0075527868129445785
Custom Strategy,2023-07-05 04:00:00+00:00,BUY,188.69,,,
Custom Strategy,2023-07-10 04:00:00+00:00,SELL,186.01,2023-07-05 04:00:00+00:00,188.69,-0.014203190418146217
Custom Strategy,2023-09-01 04:00:00+00:00,BUY,187.11,,,
Custom Strategy,2023-09-07 04:00:00+00:00,SELL,175.37,2023-09-01 04:00:00+00:00,187.11,-0.0627438405216183
Custom Strategy,2023-10-11 04:00:00+00:00,BUY,177.52,,,
Custom Strategy,2023-10-19 04:00:00+00:00,SELL,173.28,2023-10-11 04:00:00+00:00,177.52,-0.023884632717440346
Custom Strategy,2023-11-02 04:00:00+00:00,BUY,175.43,,,
Custom Strategy,2023-11-15 05:00:00+00:00,SELL,186.04,2023-11-02 04:00:00+00:00,175.43,0.060479963518212276
Custom Strategy,2023-11-29 05:00:00+00:00,BUY,187.24,,,
Custom Strategy,2023-11-30 05:00:00+00:00,SELL,187.75,2023-11-29 05:00:00+00:00,187.24,0.002723776970732672
Custom Strategy,2023-12-08 05:00:00+00:00,BUY,193.5,,,
Custom Strategy,2023-12-11 05:00:00+00:00,SELL,191.02,2023-12-08 05:00:00+00:00,193.5,-0.012816537467700173
Custom Strategy,2023-12-13 05:00:00+00:00,BUY,195.65,,,
Custom Strategy,2023-12-18 05:00:00+00:00,SELL,193.72,2023-12-13 05:00:00+00:00,195.65,-0.009864554050600605
Custom Strategy,2024-01-22 05:00:00+00:00,BUY,191.72,,,
Custom Strategy,2024-01-31 05:00:00+00:00,SELL,182.35,2024-01-22 05:00:00+00:00,191.72,-0.048873356978927585
Custom Strategy,2024-06-05 04:00:00+00:00,BUY,194.19,,,
Custom Strategy,2024-06-06 04:00:00+00:00,SELL,192.77,2024-06-05 04:00:00+00:00,194.19,-0.007312425974560943
Custom Strategy,2024-06-07 04:00:00+00:00,BUY,195.19,,,
Custom Strategy,2024-06-10 04:00:00+00:00,SELL,191.49,2024-06-07 04:00:00+00:00,195.19,-0.018955889133664527
Custom Strategy,2024-06-20 04:00:00+00:00,BUY,207.75,,,
Custom Strategy,2024-06-25 04:00:00+00:00,SELL,207.37,2024-06-20 04:00:00+00:00,207.75,-0.0018291215403128946
Custom Strategy,2024-07-05 04:00:00+00:00,BUY,224.41,,,
Custom Strategy,2024-07-12 04:00:00+00:00,SELL,228.29,2024-07-05 04:00:00+00:00,224.41,0.01728978209527199
Custom Strategy,2024-08-14 04:00:00+00:00,BUY,219.98,,,
Custom Strategy,2024-08-23 04:00:00+00:00,SELL,225.11,2024-08-14 04:00:00+00:00,219.98,0.023320301845622504
Custom Strategy,2024-09-03 04:00:00+00:00,BUY,221.06,,,
Custom Strategy,2024-09-04 04:00:00+00:00,SELL,219.09,2024-09-03 04:00:00+00:00,221.06,-0.00891160770831445
Custom Strategy,2024-09-30 04:00:00+00:00,BUY,231.12,,,
Custom Strategy,2024-10-07 04:00:00+00:00,SELL,220.09,2024-09-30 04:00:00+00:00,231.12,-0.047724125995154076
Custom Strategy,2024-10-10 04:00:00+00:00,BUY,227.33,,,
Custom Strategy,2024-10-25 04:00:00+00:00,SELL,229.5,2024-10-10 04:00:00+00:00,227.33,0.009545594510183442
Custom Strategy,2024-11-20 05:00:00+00:00,BUY,227.55,,,
Custom Strategy,2024-12-02 05:00:00+00:00,SELL,238.11,2024-11-20 05:00:00+00:00,227.55,0.046407382992748936
Custom Strategy,2024-12-27 05:00:00+00:00,BUY,254.01,,,
Custom Strategy,2024-12-30 05:00:00+00:00,SELL,250.55,2024-12-27 05:00:00+00:00,254.01,-0.01362151096413522
Custom Strategy,2025-02-13 05:00:00+00:00,BUY,240.22,,,
Custom Strategy,2025-02-24 05:00:00+00:00,SELL,245.9,2025-02-13 05:00:00+00:00,240.22,0.023644992090583683
Custom Strategy,2025-05-12 04:00:00+00:00,BUY,209.97,,,
Custom Strategy,2025-05-21 04:00:00+00:00,SELL,201.44,2025-05-12 04:00:00+00:00,209.97,-0.04062485116921466
Custom Strategy,2025-07-14 04:00:00+00:00,BUY,207.83,,,
Custom Strategy,2025-07-29 04:00:00+00:00,SELL,210.44,2025-07-14 04:00:00+00:00,207.83,0.012558340951739355
Custom Strategy,2025-08-14 04:00:00+00:00,BUY,232.12,,,
Custom Strategy,2025-08-25 04:00:00+00:00,SELL,226.51,2025-08-14 04:00:00+00:00,232.12,-0.024168533517146318
Custom Strategy,2025-09-03 04:00:00+00:00,BUY,237.81,,,
Custom Strategy,2025-09-10 04:00:00+00:00,SELL,226.17,2025-09-03 04:00:00+00:00,237.81,-0.04894663807241084
Custom Strategy,2025-09-19 04:00:00+00:00,BUY,244.63,,,
Custom Strategy,2025-09-30 04:00:00+00:00,SELL,253.84,2025-09-19 04:00:00+00:00,244.63,0.037648693945959266
Custom Strategy,2025-10-23 04:00:00+00:00,BUY,258.86,,,
Custom Strategy,2025-10-30 04:00:00+00:00,SELL,270.55,2025-10-23 04:00:00+00:00,258.86,0.04515954570037861
Custom Strategy,2025-12-02 05:00:00+00:00,BUY,285.56,,,
Custom Strategy,2025-12-08 05:00:00+00:00,SELL,277.44,2025-12-02 05:00:00+00:00,285.56,-0.028435355091749548
Custom Strategy,2026-02-02 05:00:00+00:00,BUY,269.45,,,
Custom Strategy,2026-02-09 05:00:00+00:00,SELL,274.25,2026-02-02 05:00:00+00:00,269.45,0.017814065689367276
Custom Strategy,2026-04-15 04:00:00+00:00,BUY,266.06,,,
Custom Strategy,2026-04-20 04:00:00+00:00,SELL,272.81,2026-04-15 04:00:00+00:00,266.06,0.02537021724423072
Custom Strategy,2026-04-21 04:00:00+00:00,BUY,265.92,,,
Custom Strategy,2026-05-11 04:00:00+00:00,SELL,292.66,2026-04-21 04:00:00+00:00,265.92,0.10055655836341759
