strategy,date,action,price,entry_date,entry_price,trade_return
Mean Reversion,2021-09-20 04:00:00+00:00,BUY,139.63,,,
Mean Reversion,2021-10-19 04:00:00+00:00,SELL,145.2,2021-09-20 04:00:00+00:00,139.63,0.039891140872305275
Mean Reversion,2022-01-19 05:00:00+00:00,BUY,162.49,,,
Mean Reversion,2022-03-24 04:00:00+00:00,SELL,170.37,2022-01-19 05:00:00+00:00,162.49,0.048495292017970204
Mean Reversion,2022-04-26 04:00:00+00:00,BUY,153.47,,,
Mean Reversion,2022-07-08 04:00:00+00:00,SELL,144.14,2022-04-26 04:00:00+00:00,153.47,-0.06079364045090252
Mean Reversion,2022-09-30 04:00:00+00:00,BUY,135.55,,,
Mean Reversion,2022-10-25 04:00:00+00:00,SELL,149.52,2022-09-30 04:00:00+00:00,135.55,0.10306160088528227
Mean Reversion,2023-08-04 04:00:00+00:00,BUY,179.48,,,
Mean Reversion,2023-08-31 04:00:00+00:00,SELL,185.57,2023-08-04 04:00:00+00:00,179.48,0.033931357254290084
Mean Reversion,2023-10-26 04:00:00+00:00,BUY,164.69,,,
Mean Reversion,2023-11-10 05:00:00+00:00,SELL,184.25,2023-10-26 04:00:00+00:00,164.69,0.11876859554314168
Mean Reversion,2024-01-03 05:00:00+00:00,BUY,182.18,,,
Mean Reversion,2024-01-25 05:00:00+00:00,SELL,192.02,2024-01-03 05:00:00+00:00,182.18,0.05401251509496108
Mean Reversion,2024-03-04 05:00:00+00:00,BUY,173.35,,,
Mean Reversion,2024-05-03 04:00:00+00:00,SELL,181.54,2024-03-04 05:00:00+00:00,173.35,0.047245457167579996
Mean Reversion,2024-08-05 04:00:00+00:00,BUY,207.43,,,
Mean Reversion,2024-08-23 04:00:00+00:00,SELL,225.11,2024-08-05 04:00:00+00:00,207.43,0.08523357277153742
Mean Reversion,2024-11-04 05:00:00+00:00,BUY,220.42,,,
Mean Reversion,2024-11-26 05:00:00+00:00,SELL,233.49,2024-11-04 05:00:00+00:00,220.42,0.05929588966518473
Mean Reversion,2025-01-16 05:00:00+00:00,BUY,226.79,,,
Mean Reversion,2025-02-24 05:00:00+00:00,SELL,245.9,2025-01-16 05:00:00+00:00,226.79,0.08426297455796128
Mean Reversion,2025-03-10 04:00:00+00:00,BUY,226.37,,,
Mean Reversion,2025-04-29 04:00:00+00:00,SELL,210.11,2025-03-10 04:00:00+00:00,226.37,-0.07182930600344561
Mean Reversion,2026-01-05 05:00:00+00:00,BUY,266.68,,,
Mean Reversion,2026-02-02 05:00:00+00:00,SELL,269.45,2026-01-05 05:00:00+00:00,266.68,0.010386980650967326
Mean Reversion,2026-03-13 04:00:00+00:00,BUY,249.8,,,
Mean Reversion,2026-04-15 04:00:00+00:00,SELL,266.06,2026-03-13 04:00:00+00:00,249.8,0.06509207365892711
Mean Reversion,2026-06-25 04:00:00+00:00,BUY,275.21,,,
