strategy,date,action,price,entry_date,entry_price,trade_return
Trend Following,2021-11-04 04:00:00+00:00,BUY,147.39,,,
Trend Following,2021-11-10 05:00:00+00:00,SELL,144.62,2021-11-04 04:00:00+00:00,147.39,-0.018793676640206147
Trend Following,2021-11-18 05:00:00+00:00,BUY,154.35,,,
Trend Following,2021-12-17 05:00:00+00:00,SELL,167.12,2021-11-18 05:00:00+00:00,154.35,0.08273404599935219
Trend Following,2022-04-05 04:00:00+00:00,BUY,171.46,,,
Trend Following,2022-04-08 04:00:00+00:00,SELL,166.55,2022-04-05 04:00:00+00:00,171.46,-0.028636416656946162
Trend Following,2022-07-20 04:00:00+00:00,BUY,150.03,,,
Trend Following,2022-08-22 04:00:00+00:00,SELL,164.57,2022-07-20 04:00:00+00:00,150.03,0.0969139505432246
Trend Following,2023-02-03 05:00:00+00:00,BUY,151.93,,,
Trend Following,2023-02-21 05:00:00+00:00,SELL,146.24,2023-02-03 05:00:00+00:00,151.93,-0.03745145790824722
Trend Following,2023-03-29 04:00:00+00:00,BUY,158.34,,,
Trend Following,2023-04-11 04:00:00+00:00,SELL,158.37,2023-03-29 04:00:00+00:00,158.34,0.00018946570670719254
Trend Following,2023-04-19 04:00:00+00:00,BUY,165.08,,,
Trend Following,2023-04-20 04:00:00+00:00,SELL,164.08,2023-04-19 04:00:00+00:00,165.08,-0.006057669008965316
Trend Following,2023-05-01 04:00:00+00:00,BUY,166.98,,,
Trend Following,2023-05-02 04:00:00+00:00,SELL,165.99,2023-05-01 04:00:00+00:00,166.98,-0.005928853754940566
Trend Following,2023-05-05 04:00:00+00:00,BUY,170.97,,,
Trend Following,2023-05-16 04:00:00+00:00,SELL,169.73,2023-05-05 04:00:00+00:00,170.97,-0.007252734397847682
Trend Following,2023-05-18 04:00:00+00:00,BUY,172.64,,,
Trend Following,2023-05-22 04:00:00+00:00,SELL,171.84,2023-05-18 04:00:00+00:00,172.64,-0.004633920296570837
Trend Following,2023-05-31 04:00:00+00:00,BUY,174.97,,,
Trend Following,2023-06-26 04:00:00+00:00,SELL,182.76,2023-05-31 04:00:00+00:00,174.97,0.044521918043093134
Trend Following,2023-06-27 04:00:00+00:00,BUY,185.44,,,
Trend Following,2023-07-10 04:00:00+00:00,SELL,186.01,2023-06-27 04:00:00+00:00,185.44,0.0030737704918033515
Trend Following,2023-11-14 05:00:00+00:00,BUY,185.31,,,
Trend Following,2023-11-30 05:00:00+00:00,SELL,187.75,2023-11-14 05:00:00+00:00,185.31,0.013167125357508969
Trend Following,2023-12-08 05:00:00+00:00,BUY,193.5,,,
Trend Following,2023-12-11 05:00:00+00:00,SELL,191.02,2023-12-08 05:00:00+00:00,193.5,-0.012816537467700173
Trend Following,2023-12-13 05:00:00+00:00,BUY,195.65,,,
Trend Following,2023-12-18 05:00:00+00:00,SELL,193.72,2023-12-13 05:00:00+00:00,195.65,-0.009864554050600605
Trend Following,2024-05-10 04:00:00+00:00,BUY,181.44,,,
Trend Following,2024-05-29 04:00:00+00:00,SELL,188.74,2024-05-10 04:00:00+00:00,181.44,0.04023368606701938
Trend Following,2024-06-05 04:00:00+00:00,BUY,194.19,,,
Trend Following,2024-06-06 04:00:00+00:00,SELL,192.77,2024-06-05 04:00:00+00:00,194.19,-0.007312425974560943
Trend Following,2024-06-07 04:00:00+00:00,BUY,195.19,,,
Trend Following,2024-06-10 04:00:00+00:00,SELL,191.49,2024-06-07 04:00:00+00:00,195.19,-0.018955889133664527
Trend Following,2024-06-11 04:00:00+00:00,BUY,205.37,,,
Trend Following,2024-06-25 04:00:00+00:00,SELL,207.37,2024-06-11 04:00:00+00:00,205.37,0.009738520718702848
Trend Following,2024-07-02 04:00:00+00:00,BUY,218.46,,,
Trend Following,2024-07-18 04:00:00+00:00,SELL,222.28,2024-07-02 04:00:00+00:00,218.46,0.01748603863407494
Trend Following,2024-08-14 04:00:00+00:00,BUY,219.98,,,
Trend Following,2024-08-20 04:00:00+00:00,SELL,224.84,2024-08-14 04:00:00+00:00,219.98,0.022092917537958057
Trend Following,2024-08-27 04:00:00+00:00,BUY,226.43,,,
Trend Following,2024-09-04 04:00:00+00:00,SELL,219.09,2024-08-27 04:00:00+00:00,226.43,-0.03241619926688166
Trend Following,2024-11-18 05:00:00+00:00,BUY,226.71,,,
Trend Following,2024-11-19 05:00:00+00:00,SELL,226.76,2024-11-18 05:00:00+00:00,226.71,0.00022054607207433463
Trend Following,2024-12-03 05:00:00+00:00,BUY,241.11,,,
Trend Following,2024-12-30 05:00:00+00:00,SELL,250.55,2024-12-03 05:00:00+00:00,241.11,0.03915225415785328
Trend Following,2025-06-10 04:00:00+00:00,BUY,201.88,,,
Trend Following,2025-06-11 04:00:00+00:00,SELL,198.03,2025-06-10 04:00:00+00:00,201.88,-0.019070735090152557
Trend Following,2025-07-11 04:00:00+00:00,BUY,210.25,,,
